pattern,replacement
IranDeal,Iran Deal
ArianaGrande,Ariana Grande
camilacabello97,camila cabello
RondaRousey,Ronda Rousey
MTVHottest,MTV Hottest
TrapMusic,Trap Music
ProphetMuhammad,Prophet Muhammad
PantherAttack,Panther Attack
StrategicPatience,Strategic Patience
socialnews,social news
NASAHurricane,NASA Hurricane
onlinecommunities,online communities
humanconsumption,human consumption
Typhoon-Devastated,Typhoon Devastated
Meat-Loving,Meat Loving
facialabuse,facial abuse
LakeCounty,Lake County
BeingAuthor,Being Author
withheavenly,with heavenly
thankU,thank you
iTunesMusic,iTunes Music
OffensiveContent,Offensive Content
WorstSummerJob,Worst Summer Job
HarryBeCareful,Harry Be Careful
NASASolarSystem,NASA Solar System
animalrescue,animal rescue
KurtSchlichter,Kurt Schlichter
aRmageddon,armageddon
Throwingknifes,Throwing knives
GodsLove,God's Love
bookboost,book boost
ibooklove,I book love
NestleIndia,Nestle India
realDonaldTrump,Donald Trump
DavidVonderhaar,David Vonderhaar
CecilTheLion,Cecil The Lion
weathernetwork,weather network
withBioterrorism&use,with Bioterrorism & use
Hostage&2,Hostage & 2
GOPDebate,GOP Debate
RickPerry,Rick Perry
frontpage,front page
NewsInTweets,News In Tweets
ViralSpell,Viral Spell
til_now,until now
volcanoinRussia,volcano in Russia
ZippedNews,Zipped News
MicheleBachman,Michele Bachman
53inch,53 inch
KerrickTrial,Kerrick Trial
abstorm,Alberta Storm
Beyhive,Beyonce hive
IDFire,Idaho Fire
DETECTADO,Detected
RockyFire,Rocky Fire
Listen/Buy,Listen / Buy
NickCannon,Nick Cannon
FaroeIslands,Faroe Islands
yycstorm,Calgary Storm
IDPs:,Internally Displaced People :
ArtistsUnited,Artists United
ClaytonBryant,Clayton Bryant
jimmyfallon,jimmy fallon
justinbieber,justin bieber
UTC2015,UTC 2015
Time2015,Time 2015
djicemoon,dj icemoon
LivingSafely,Living Safely
FIFA16,Fifa 2016
thisiswhywecanthavenicethings,this is why we cannot have nice things
bbcnews,bbc news
UndergroundRailraod,Underground Railraod
c4news,c4 news
OBLITERATION,obliteration
MUDSLIDE,mudslide
NoSurrender,No Surrender
NotExplained,Not Explained
greatbritishbakeoff,great british bake off
LondonFire,London Fire
KOTAWeather,KOTA Weather
LuchaUnderground,Lucha Underground
KOIN6News,KOIN 6 News
LiveOnK2,Live On K2
9NewsGoldCoast,9 News Gold Coast
nikeplus,nike plus
david_cameron,David Cameron
peterjukes,Peter Jukes
JamesMelville,James Melville
megynkelly,Megyn Kelly
cnewslive,C News Live
JamaicaObserver,Jamaica Observer
TweetLikeItsSeptember11th2001,Tweet like it is september 11th 2001
cbplawyers,cbp lawyers
fewmoretweets,few more tweets
BlackLivesMatter,Black Lives Matter
cjoyner,Chris Joyner
ENGvAUS,England vs Australia
ScottWalker,Scott Walker
MikeParrActor,Michael Parr
4PlayThursdays,Foreplay Thursdays
TGF2015,Tontitown Grape Festival
realmandyrain,Mandy Rain
GraysonDolan,Grayson Dolan
ApolloBrown,Apollo Brown
saddlebrooke,Saddlebrooke
